iter	Passed	Remaining
792	24283	6338
793	24311	6307
794	24339	6276
795	24365	6244
796	24394	6213
797	24422	6182
798	24453	6151
799	24481	6120
800	24508	6088
801	24534	6057
802	24564	6026
803	24596	5996
804	24631	5966
805	24661	5935
806	24691	5905
807	24715	5872
808	24741	5841
809	24770	5810
810	24800	5779
811	24827	5748
812	24856	5717
813	24889	5687
814	24919	5656
815	24947	5625
816	24981	5595
817	25007	5563
818	25035	5532
819	25062	5501
820	25094	5471
821	25124	5440
822	25156	5410
823	25184	5379
824	25212	5348
825	25239	5316
826	25266	5285
827	25296	5254
828	25327	5224
829	25355	5193
830	25383	5162
831	25414	5131
832	25446	5101
833	25476	5070
834	25503	5039
835	25530	5008
836	25560	4977
837	25587	4946
838	25616	4915
839	25646	4885
840	25680	4855
841	25708	4824
842	25735	4792
843	25758	4761
844	25786	4730
845	25814	4699
846	25846	4668
847	25878	4638
848	25907	4607
849	25933	4576
850	25960	4545
851	25993	4515
852	26027	4485
853	26054	4454
854	26083	4423
855	26114	4393
856	26143	4362
857	26170	4331
858	26201	4300
859	26230	4270
860	26258	4239
861	26286	4208
862	26313	4177
863	26346	4147
864	26375	4116
865	26403	4085
866	26436	4055
867	26464	4024
868	26490	3993
869	26519	3962
870	26567	3934
871	26614	3906
872	26652	3877
873	26683	3846
874	26724	3817
875	26767	3788
876	26818	3761
877	26853	3731
878	26886	3701
879	26913	3670
880	26942	3639
881	26985	3610
882	27020	3580
883	27053	3549
884	27093	3520
885	27130	3490
886	27168	3461
887	27200	3430
888	27234	3400
889	27266	3370
890	27298	3339
891	27334	3309
892	27362	3278
893	27401	3248
894	27442	3219
895	27483	3190
896	27520	3160
897	27547	3128
898	27590	3099
899	27624	3069
900	27657	3038
901	27690	3008
902	27717	2977
903	27749	2946
904	27780	2916
905	27815	2885
906	27844	2855
907	27879	2824
908	27911	2794
909	27944	2763
910	27978	2733
911	28009	2702
912	28038	2671
913	28077	2641
914	28115	2611
915	28150	2581
916	28181	2550
917	28213	2520
918	28244	2489
919	28273	2458
920	28304	2427
921	28340	2397
922	28369	2366
923	28398	2335
924	28428	2305
925	28458	2274
926	28487	2243
927	28518	2212
928	28548	2181
929	28579	2151
930	28610	2120
931	28641	2089
932	28669	2058
933	28696	2027
934	28735	1997
935	28763	1966
936	28792	1935
937	28823	1905
938	28854	1874
939	28887	1843
940	28918	1813
941	28951	1782
942	28983	1751
943	29013	1721
944	29042	1690
945	29075	1659
946	29107	1629
947	29137	1598
948	29169	1567
949	29196	1536
950	29223	1505
951	29254	1474
952	29283	1444
953	29312	1413
954	29340	1382
955	29369	1351
956	29400	1321
957	29429	1290
958	29457	1259
959	29485	1228
960	29512	1197
961	29541	1166
962	29567	1136
963	29601	1105
964	29632	1074
965	29663	1044
966	29692	1013
967	29726	982
968	29758	952
969	29788	921
970	29824	890
971	29852	859
972	29886	829
973	29920	798
974	29948	767
975	29975	737
976	30014	706
977	30046	675
978	30079	645
979	30109	614
980	30138	583
981	30168	552
982	30197	522
983	30224	491
984	30253	460
985	30281	429
986	30312	399
987	30340	368
988	30371	337
989	30401	307
990	30433	276
991	30461	245
992	30489	214
993	30520	184
994	30554	153
995	30581	122
996	30616	92
997	30644	61
998	30676	30
999	30709	0
